X,Y,Red,Green,Blue
1144,597,174,139,108
1145,597,160,127,99
1146,597,171,143,116
1147,597,200,184,160
1148,597,214,204,182
1149,597,216,203,181
1150,597,216,203,181
1151,597,218,206,184
1152,597,219,208,186
1153,597,217,205,184
1154,597,221,209,186
1155,597,229,218,194
1156,597,228,217,194
1157,597,228,217,194
1158,597,227,216,193
1159,597,228,217,194
1160,597,227,216,193
1161,597,227,216,193
1162,597,227,216,193
1163,597,227,216,193
1164,597,227,216,193
1165,597,228,217,193
1166,597,230,219,195
1167,597,230,219,195
1168,597,228,217,194
1169,597,228,217,194
1170,597,228,217,194
1171,597,229,218,194
1172,597,229,218,194
1173,597,228,217,194
1174,597,230,219,195
1175,597,230,219,195
1176,597,230,219,195
1177,597,230,219,196
1178,597,230,219,196
1179,597,230,219,196
1180,597,230,219,196
1181,597,229,218,195
1182,597,226,215,192
1183,597,222,211,189
1184,597,222,211,188
1185,597,222,211,188
1186,597,222,211,189
1187,597,222,211,189
1188,597,223,212,191
1189,597,225,214,192
1190,597,225,214,193
1191,597,224,213,192
1192,597,224,213,192
1193,597,223,212,191
1194,597,225,214,192
1195,597,225,214,192
1196,597,225,214,192
1197,597,226,215,193
1198,597,229,219,197
1199,597,234,226,205
1200,597,237,229,208
1201,597,236,228,208
1202,597,233,224,203
1203,597,228,218,196
1204,597,225,214,192
1205,597,222,212,188
1206,597,218,208,184
1207,597,216,206,183
1208,597,216,206,183
1209,597,216,206,183
1210,597,212,199,177
1211,597,194,170,147
1212,597,166,133,100
1213,597,166,133,99
1214,597,177,148,119
1215,597,191,167,143
1216,597,196,178,157
1217,597,157,146,130
1218,597,100,88,76
1219,597,96,72,56
1220,597,144,107,84
1221,597,125,93,73
1222,597,127,95,75
1129,598,132,94,70
1130,598,125,88,66
1131,598,123,87,65
1132,598,124,91,70
1133,598,128,94,73
1134,598,135,100,77
1135,598,137,101,78
1136,598,133,99,76
1137,598,112,82,63
1138,598,77,57,45
1139,598,113,105,89
1140,598,188,177,156
1141,598,199,188,166
1142,598,176,166,147
1143,598,165,140,115
1144,598,161,128,100
1145,598,173,146,119
1146,598,198,182,158
1147,598,212,202,180
1148,598,214,204,182
1149,598,216,203,181
1150,598,218,207,186
1151,598,220,208,187
1152,598,220,209,188
1153,598,220,209,188
1154,598,223,212,190
1155,598,228,217,194
1156,598,228,217,194
1157,598,228,217,194
1158,598,228,217,194
1159,598,229,218,194
1160,598,227,216,193
1161,598,227,216,193
1162,598,227,216,193
1163,598,227,216,193
1164,598,227,216,193
1165,598,227,216,193
1166,598,228,217,194
1167,598,228,217,194
1168,598,228,217,194
1169,598,229,218,195
1170,598,229,218,195
1171,598,229,218,195
1172,598,229,218,194
1173,598,228,217,194
1174,598,228,217,194
1175,598,229,218,195
1176,598,229,218,195
1177,598,230,219,195
1178,598,229,218,195
1179,598,228,218,194
1180,598,229,218,195
1181,598,229,218,195
1182,598,227,216,193
1183,598,225,214,192
1184,598,228,219,197
1185,598,231,222,201
1186,598,231,222,201
1187,598,229,219,198
1188,598,225,214,193
1189,598,222,211,190
1190,598,222,211,190
1191,598,222,211,190
1192,598,222,211,190
1193,598,223,212,191
1194,598,225,214,192
1195,598,225,214,192
1196,598,226,215,193
1197,598,229,219,198
1198,598,238,231,211
1199,598,246,240,221
1200,598,245,240,221
1201,598,247,241,222
1202,598,244,238,218
1203,598,237,229,208
1204,598,229,219,198
1205,598,219,208,185
1206,598,219,209,185
1207,598,220,210,187
1208,598,220,210,187
1209,598,219,209,185
1210,598,215,203,181
1211,598,208,190,172
1212,598,194,170,146
1213,598,169,137,105
1214,598,167,135,101
1215,598,177,148,119
1216,598,189,170,146
1217,598,191,178,159
1218,598,160,148,132
1219,598,102,90,78
1220,598,95,71,55
1221,598,143,107,83
1222,598,129,96,76
1129,599,124,91,69
1130,599,125,91,70
1131,599,128,94,72
1132,599,118,96,78
1133,599,123,94,73
1134,599,127,94,72
1135,599,127,94,72
1136,599,109,81,62
1137,599,95,73,55
1138,599,136,116,93
1139,599,203,193,173
1140,599,231,223,203
1141,599,240,232,211
1142,599,237,230,209
1143,599,220,208,185
